"Gene1" "Gene2" "coef"
"V4999" "HSP90AA1" "VIM" 17.5086370110446
"V5072" "HSPA4" "HSPA6" 4.12123480737954
"V5152" "HSPA6" "HSPA4" 4.06692177617928
"V1525" "CCL2" "CXCL2" -4.52293998482416
"V2424" "CXCL2" "CCL2" -4.54350856046237
"V4118" "GNA12" "RAC1" 3.4678988495982
"V547" "AP3B1" "NECAP1" -1.08877860761786
"V4240" "GPC3" "WNT9A" 15.9799330215614
"V2516" "DAB2" "LDLRAP1" -41.3630915214208
"V6020" "LDLRAP1" "DAB2" -41.4276002107337
"V1423" "CASP9" "HSPA5" -22.5942220406893
"V5648" "JAG2" "NOTCH3" -9.51186410668355
"V4224" "GOT1" "HOGA1" -0.92521326758005
"V4896" "HOGA1" "GOT1" -0.913537214641493
"V3649" "FADD" "PEA15" 0.798651165880661
"V1745" "CDH5" "NOTCH1" 13.9715357490865
"V3754" "FECH" "ISCA1" -24.1215480276141
"V5575" "ISCA1" "FECH" -24.1923817677576
"V5936" "KRAS" "PIK3R1" -0.184314619985742
"V3091" "EAF1" "METTL6" -12.6720364458807
"V4235" "GPANK1" "APOM" -5.98689849663356
"V4717" "HIST2H2AC" "KDM6B" -2.42664789967149
"V5832" "KDM6B" "HIST2H2AC" -2.3492001567049
"V637" "ARF6" "RALA" -15.4455017444884
"V4089" "GLRX5" "ISCA1" -7.36164467395365
"V3606" "EXOSC3" "SUPV3L1" -9.60357786770398
"V4195" "GNLY" "NOTCH1" -2.17080769477805
"V5836" "KDR" "CSF1" 7.57736690713489
"V5619" "ITGB2" "PTK2" 12.0386025011876
"V406" "AKT1" "BRPF3" 6.9683141977676
"V1217" "BRPF3" "AKT1" 6.75902391318519
"V1196" "BRD7" "PIK3R1" -16.3925443920929
"V4643" "HES1" "BHLHE40" -25.6483799783534
"V435" "ALCAM" "CD9" 5.40299820319797
"V3224" "EHMT2" "SNAI1" 3.48775135387403
"V6039" "LIMK2" "PARD3" 3.1446069659334
"V5595" "ITGA2" "ITGAE" 0.285086986537124
"V3090" "EAF1" "ICE2" -3.35390213630772
"V5269" "ICE2" "EAF1" -3.42530868705647
"V3202" "EGFR" "ITGA1" 11.3348031762255
"V4666" "HIST1H2AC" "HDAC11" -1.68396663672629
"V2197" "CREB3L1" "CREB5" 33.3955924023813
"V4396" "H2AFJ" "PGAP2" -7.41439703359615
"V632" "ARF6" "KLC1" -0.0657421721717716
"V4107" "GNA11" "ARF6" -37.0529754481981
"V3923" "GAB2" "SMPD1" -1.39339365873862
"V1694" "CD69" "CD38" -48.6422071057119
"V2573" "DCN" "SDC4" -9.0540254029467
"V4303" "GSN" "NME1" -3.84978054420703
"V3769" "FGL2" "THBS1" 7.40436899456242
"V2249" "CSF1" "MET" 1.62536717982456
"V558" "AP4B1" "SNAPIN" -40.4835325105616
"V6068" "LPAR2" "PTK2" 0.60312071544043
"V4319" "GSTM5" "CYP2E1" 0.965779074229751
"V5693" "JUN" "EGR1" -31.8054558159451
"V2470" "CYCS" "HTRA2" 10.379818331673
"V5246" "HTRA2" "CYCS" 10.3354273831914
"V6012" "LDHA" "HK1" -18.5881605668881
"V3523" "EPS8L2" "PDDC1" -6.72338808951252
"V1544" "CCNB1" "PHF8" -9.96806832726402
"V4663" "HIPK2" "SUMO1" -58.6075617350334
"V545" "AP2B1" "DNAJC6" 13.2390728362466
"V2572" "DCN" "KLHL17" 11.2495525906478
"V636" "ARF6" "RAB4A" -8.02876970830216
"V5242" "HSPH1" "HSPBP1" 7.87760705241502
"V1017" "B4GALT4" "LUM" 3.87755006656088
"V6175" "LUM" "B4GALT4" 3.87211123085855
"V3764" "FGF2" "EGFR" 4.89652705037289
"V5354" "IKBKB" "NGFR" 6.689325385027
"V6236" "MALSU1" "NDUFB9" 15.0460408646411
"V5116" "HSPA5" "NFYA" -13.2393902162341
"V4076" "GJA1" "DSP" 6.62614652102848
"V3873" "FUK" "KHK" -43.2081843868393
"V1128" "BHLHE41" "HDAC1" -19.5631315883233
"V4495" "HDAC1" "BHLHE41" -19.6321017242321
"V1958" "CIAPIN1" "FXN" -12.2012300997812
"V4658" "HIF1AN" "TP53BP2" -0.332445811335591
"V602" "APP" "ACTB" -2.38844677545019
"V516" "ANGPTL4" "NCOA3" 5.39095173250576
"V3150" "ECI2" "PEX5" -24.3644006997715
"V5856" "KIAA0753" "OFD1" -0.511968716144473
"V4081" "GLE1" "RANBP2" 26.1002507340522
"V5593" "ITGA1" "COL5A1" 50.8725010381786
"V470" "ALOX5" "IL18" -36.7104534323324
"V2056" "CNPY2" "MANF" -4.72556607512644
"V3348" "EIF4A3" "THOC1" 2.32650483044599
"V1744" "CDH24" "CTNND1" -96.8726140612847
"V6494" "MAVS" "IKBKB" -19.9604924563817
"V4765" "HLA-DOA" "HLA-DRB5" -9.03563304960679
"V4787" "HLA-DRB5" "HLA-DOA" -8.99799177998131
"V2919" "DMAP1" "DNMT1" 11.8035133432617
"V2966" "DNMT1" "DMAP1" 11.7062402957204
"V3421" "ELN" "MMP2" 22.274924955662
"V4879" "HNRNPM" "SNRPD2" -13.8760232393613
"V4759" "HLA-DMB" "HLA-DPA1" -2.98732904361971
"V2386" "CUL4A" "SUMO1" -17.345370730347
"V2" "A2M" "IGFBP2" 31.0685006597531
"V2235" "CRY2" "NR1D1" 16.471384149768
"V2595" "DDB2" "HDAC1" -24.2212932912728
"V3987" "GATAD1" "HDAC1" -61.4451017626054
"V2866" "DHX58" "UBA7" -54.3721180521087
"V6651" "MED30" "MED20" 50.4219914889804
"V1309" "CALR" "HNRNPR" -25.9263106194695
"V1912" "CHD3" "SNAI1" 5.79179030765796
"V4880" "HNRNPM" "WDR77" -27.923008294742
"V6491" "MATR3" "SRSF1" -24.8258709288348
"V3803" "FLCN" "NPRL3" 2.55676786925987
"V4345" "GTF2H1" "DDB2" -23.0987748225962
"V4203" "GNPDA2" "HK3" -0.135168525067667
"V4748" "HK3" "GNPDA2" -0.0336703202233394
"V963" "ATP6V1D" "RRAGA" 0.839269638657356
"V6645" "MED26" "TBP" 25.2785480650881
"V508" "ANG" "RNASE4" -16.4119381063485
"V6154" "LSM3" "LSM14A" -23.4050960266195
"V2146" "COX6A1" "NDUFA4" 142.711901342533
"V5293" "IFIT3" "IFIT5" -23.3697327337945
"V2387" "CUL4A" "WDR5" -0.0861442457156356
"V2913" "DLG4" "RHOB" -4.78837323611118
"V6318" "MAPK1" "MBP" 22.315415235521
"V2612" "DDO" "PECR" -11.2227199001648
"V3978" "GARS" "MARS" 0.14325276215383
"V5519" "IPO4" "NOP2" -15.526587466268
"V4116" "GNA12" "CTNNB1" 6.86215357324351
"V6657" "MED31" "MED23" -1.15448825512528
"V2454" "CYC1" "UQCRQ" -3.77351704345874
"V4856" "HNRNPF" "TAF15" -0.00693883998032196
"V641" "ARFGEF1" "GNA12" 7.59086327847809
"V1042" "BAK1" "PPIF" 1.54817856845558
"V5185" "HSPA9" "NUP85" 10.9758484477863
"V2450" "CYC1" "HSPA9" 23.9809076736489
"V5175" "HSPA9" "CYC1" 24.4897511143517
"V3601" "EXOSC2" "SUPV3L1" -133.524848244975
"V1190" "BRD1" "BRD7" -190.95157493636
"V3719" "FBXO7" "PSMF1" -4.15768352718829
"V2756" "DDX51" "NOP56" -5.28059324278216
"V2621" "DDX10" "DKC1" -24.6681870578746
"V2910" "DLD" "SUCLG1" -1.18764186339009
"V1603" "CCNT1" "CDK13" -13.2060393074228
"V1763" "CDK13" "CCNT1" -13.1723834284271
"V1777" "CDK2" "MCM2" -4.22305782320875
"V6536" "MCM2" "CDK2" -4.54098231589835
"V6455" "MAPK9" "ELK1" -0.138736761384365
"V4642" "HERC6" "HERC5" -35.5894327104337
"V4775" "HLA-DPB1" "HLA-DRA" -147.991843357615
"V2188" "CRCP" "SSB" 7.9540469130071
"V1916" "CHD7" "SUPT16H" -20.8945212838566
"V5794" "KCNC4" "KCNAB2" -30.1906910372699
"V6011" "LDB3" "TCAP" -58.0027172275643
"V3872" "FUBP1" "TIAL1" 19.3587342614678
"V3524" "ERAL1" "RBFA" 32.9728545385645
"V6617" "MED17" "MED31" -2.66669069092872
"V383" "AIMP1" "LARS2" 33.5452610451087
"V5996" "LARS2" "AIMP1" 33.7567201575216
"V6098" "LRRC47" "EPRS" 53.2786279020467
"V3584" "EXOC4" "RALA" 14.8412818370657
"V3939" "GADD45B" "MAP2K7" 13.2279146922099
"V4773" "HLA-DPA1" "HLA-DRA" -113.246430179232
"V4781" "HLA-DRA" "HLA-DPA1" -112.707897510886
"V789" "ATG5" "MAVS" -12.9061436383951
"V6493" "MAVS" "ATG5" -13.0302116460234
"V53" "ABCE1" "OAS2" 48.3008387700243
"V2539" "DBF4" "GMNN" -22.7053136277469
"V2857" "DHX37" "BOP1" -25.5940291773646
"V3029" "DUT" "DTYMK" 102.313535269829
"V3696" "FASN" "AACS" 49.2907204180123
"V368" "AGPS" "PEX13" 96.6713326008148
"V825" "ATP5A1" "MRPL16" -88.1533921130809
"V1859" "CENPN" "PRC1" -77.7268812624987
"V4872" "HNRNPL" "CTNNBL1" -37.1819953763247
"V4645" "HEY1" "TCF3" 7.4098535230964
"V5531" "IRAK4" "LY96" -1.35912130380309
"V1048" "BARD1" "FANCL" 140.355751331998
"V3684" "FANCL" "BARD1" 140.211089272792
"V2900" "DKC1" "NOLC1" 272.809161726104
"V4890" "HNRNPU" "HNRNPM" 90.5107671358897
"V5321" "IFT80" "CLUAP1" 32.8327892075286
"V3666" "FAM214A" "GLCCI1" 269.402156197118
"V6231" "MAK16" "TRMT11" 160.515360610732
"V1656" "CCT7" "WRAP53" 69.5043622172464
"V4478" "HBS1L" "SKIV2L2" 27.6331453652561
"V6541" "MCM2" "TYMS" 675.303156471163
